signed_i_deg,raan_deg,circle_radius_deg,i_min_deg,i_max_deg,i_5yr_deg,i_10yr_deg,i_15yr_deg
-8,-180,0.700,6.600,8.000,7.890,7.591,7.189
-8,-135,5.891,1.409,13.191,4.685,1.562,3.480
-8,-90,10.830,3.530,18.130,4.115,4.721,8.845
-8,-45,14.138,6.838,21.438,7.080,10.273,14.537
-8,0,15.300,8.000,22.600,10.105,14.263,18.259
-8,45,14.138,6.838,21.438,11.934,16.081,19.312
-8,90,10.830,3.530,18.130,12.142,15.452,17.517
-8,135,5.891,1.409,13.191,10.688,12.470,13.181
-8,180,0.700,6.600,8.000,7.890,7.591,7.189
-4,-180,3.300,4.000,10.600,4.921,6.788,8.608
-4,-135,5.291,2.009,12.591,2.017,4.299,7.370
-4,-90,8.324,1.024,15.624,1.248,5.330,9.348
-4,-45,10.516,3.216,17.816,4.261,8.369,12.407
-4,0,11.300,4.000,18.600,6.644,10.908,14.662
-4,45,10.516,3.216,17.816,8.018,12.106,15.321
-4,90,8.324,1.024,15.624,8.174,11.689,14.201
-4,135,5.291,2.009,12.591,7.086,9.748,11.625
-4,180,3.300,4.000,10.600,4.921,6.788,8.608
0,-180,7.300,0.000,14.600,4.264,8.156,11.337
0,-135,7.300,0.000,14.600,4.264,8.156,11.337
0,-90,7.300,0.000,14.600,4.264,8.156,11.337
0,-45,7.300,0.000,14.600,4.264,8.156,11.337
0,0,7.300,0.000,14.600,4.264,8.156,11.337
0,45,7.300,0.000,14.600,4.264,8.156,11.337
0,90,7.300,0.000,14.600,4.264,8.156,11.337
0,135,7.300,0.000,14.600,4.264,8.156,11.337
0,180,7.300,0.000,14.600,4.264,8.156,11.337
4,-180,11.300,4.000,18.600,6.644,10.908,14.662
4,-135,10.516,3.216,17.816,8.018,12.106,15.321
4,-90,8.324,1.024,15.624,8.174,11.689,14.201
4,-45,5.291,2.009,12.591,7.086,9.748,11.625
4,0,3.300,4.000,10.600,4.921,6.788,8.608
4,45,5.291,2.009,12.591,2.017,4.299,7.370
4,90,8.324,1.024,15.624,1.248,5.330,9.348
4,135,10.516,3.216,17.816,4.261,8.369,12.407
4,180,11.300,4.000,18.600,6.644,10.908,14.662
8,-180,15.300,8.000,22.600,10.105,14.263,18.259
8,-135,14.138,6.838,21.438,11.934,16.081,19.312
8,-90,10.830,3.530,18.130,12.142,15.452,17.517
8,-45,5.891,1.409,13.191,10.688,12.470,13.181
8,0,0.700,6.600,8.000,7.890,7.591,7.189
8,45,5.891,1.409,13.191,4.685,1.562,3.480
8,90,10.830,3.530,18.130,4.115,4.721,8.845
8,135,14.138,6.838,21.438,7.080,10.273,14.537
8,180,15.300,8.000,22.600,10.105,14.263,18.259
