elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
0.0,0.0,coast,0,29478137.000000007,0.7768460923999999,16.5,8.532370000000006,199.99999999999997,22.90255999999996,-4275566.894921983,-5138191.821372735,-1317251.164958799,6680.80794671936,-7278.267395493208,-2425.6721854379193,-129.76435,-11.216550015779614,435638.6735116178,434835.7153361244,5200.0
60.0,1.0,coast,0,29470388.933320366,0.7767819305705217,16.498887285614096,8.52839431036676,200.0104250732608,27.868652490490305,-3865462.725948837,-5563086.451261666,-1459732.6477808473,6981.723981083767,-6883.020140465313,-2322.828665465374,-125.04385424395181,-12.233516250901904,552499.3051930908,551546.3098489679,5200.0
120.0,2.0,coast,0,29462545.535188127,0.7767166994949299,16.497851701284034,8.52400229432975,200.02027113831124,32.65680398774132,-3438668.160719509,-5964000.829954109,-1595905.7557933622,7237.281848193026,-6480.077718993329,-2215.73754739819,-120.46785578641983,-13.128229234525076,689825.7185429335,688730.580434721,5200.0
180.0,3.0,coast,0,29454882.43976754,0.7766527143069445,16.49692117655879,8.519323893861223,200.02948771457415,37.25105802101203,-2997868.110505893,-6340672.419994211,-1725575.8311083051,7448.916537986965,-6075.935150524956,-2106.3724304381417,-116.0568218836837,-13.90101522748907,845893.2175594512,844667.7569992496,5200.0
240.0,4.0,coast,0,29447594.43741189,0.7765916246836436,16.496112074393665,8.514488939584586,200.0380518623468,41.641381059830984,-2545626.179479682,-6693200.605923942,-1848659.9892606272,7619.176061808811,-5676.135075699481,-1996.4750712097002,-111.82605528725838,-14.55583237674989,1018922.4229967901,1017581.1110672671,5200.0
300.0,5.0,coast,0,29440802.38238017,0.776534468792342,16.495430595265145,8.509616135415992,200.0459614117585,45.8229887772872,-2084328.7265124703,-7021986.043098792,-1965171.7019001453,7751.362429736743,-5285.170685295799,-1887.5111267337247,-107.7858326897347,-15.099370343748541,1207140.2331880284,1205699.0045931507,5200.0
360.0,6.0,coast,0,29434566.80044017,0.7764817837490867,16.494874919360885,8.504806235850921,200.0532292002184,49.79550428154242,-1616149.663265638,-7327667.473678463,-2075203.729860371,7849.2050141680875,-4906.493367645614,-1780.658190556696,-103.94182023367065,-15.540155751345539,1408827.6328282487,1407302.8813848058,5200.0
420.0,7.0,coast,0,29428903.451201253,0.7764337331486824,16.494437537663625,8.500139062503727,200.05987856023478,53.56206719258059,-1143033.228376378,-7611061.353951983,-2178911.102560068,7916.590590277987,-4542.593386488475,-1676.81782480575,-100.29566999696192,-15.887753951653591,1622354.2194450172,1620762.017630511,5200.0
480.0,8.0,coast,0,29423797.760563068,0.7763902258846913,16.494107395873183,8.495673467593178,200.06593991720692,57.1284803151532,-666691.0142064117,-7873107.736132718,-2276495.3205162846,7957.358542219636,-4195.122962438263,-1576.642919514475,-96.84570531133907,-16.1521156357318,1846200.6858612066,1844556.2291883891,5200.0
540.0,9.0,coast,0,29419216.61947015,0.7763510135881913,16.493871652918088,8.491449215234736,200.07144823809998,60.50244763965024,-188609.37230260466,-8114824.164615589,-2368190.46770005,7975.158599839847,-3865.0367633098012,-1480.5728921374714,-93.58761901768011,-16.343082312338158,2078971.2301852042,2077288.481706582,5200.0
600.0,10.0,coast,0,29415117.178904857,0.7763157634616034,16.493716994522156,8.487489869161312,200.07644109499228,63.692929585955255,289936.307238883,-8337268.060881234,-2454251.525258501,7973.362184274717,-3552.7319987181772,-1388.871090856456,-90.51513023509135,-16.47004124989135,2319398.0960493376,2317689.5941491015,5200.0
660.0,11.0,coast,0,29411452.915262192,0.7762841086741872,16.493630529869744,8.483806004132733,200.08095717568654,66.70962114519402,767863.3229446082,-8541507.21146187,-2534944.8976274705,7955.016004085731,-3258.177088243658,-1301.6606589521004,-87.6205664224866,-16.541707655971685,2566340.344058656,2564617.1341385655,5200.0
